"biotypes"	"length"	"gc"
"ENSG00000187961"	"protein_coding"	1429	64.36
"ENSG00000250561"	"pseudogene"	952	49.68
"ENSG00000125409"	"protein_coding"	985	49.60
"ENSG00000187969"	"protein_coding"	844	51.66
"ENSG00000250569"	"pseudogene"	940	46.81
"ENSG00000211448"	"protein_coding"	1730	47.00
"ENSG00000220685"	"pseudogene"	798	47.85
"ENSG00000162843"	"protein_coding"	2271	41.54
"ENSG00000168484"	"protein_coding"	705	58.68
"ENSG00000162849"	"protein_coding"	5712	58.10
"ENSG00000149243"	"protein_coding"	1734	60.63
"ENSG00000221157"	"miRNA"	88	44.32
"ENSG00000221156"	"miRNA"	85	25.88
"ENSG00000221159"	"miRNA"	97	50.52
"ENSG00000184708"	"protein_coding"	1756	50.72
"ENSG00000184709"	"protein_coding"	1209	74.69
"ENSG00000255074"	"pseudogene"	512	55.86
"ENSG00000163462"	"protein_coding"	2520	62.26
"ENSG00000163463"	"protein_coding"	955	54.39
"ENSG00000163464"	"protein_coding"	2488	52.41
"ENSG00000163466"	"protein_coding"	904	46.35
"ENSG00000163467"	"protein_coding"	568	49.00
"ENSG00000163468"	"protein_coding"	1124	48.63
"ENSG00000162599"	"protein_coding"	3170	46.32
"ENSG00000162598"	"protein_coding"	1332	45.36
"ENSG00000162592"	"protein_coding"	2213	58.66
"ENSG00000162591"	"protein_coding"	2572	67.44
"ENSG00000029363"	"protein_coding"	2552	38.24
"ENSG00000162595"	"protein_coding"	1801	48.21
"ENSG00000162594"	"protein_coding"	2077	38.94
"ENSG00000263609"	"lincRNA"	830	41.29
"ENSG00000263608"	"misc_RNA"	248	57.26
"ENSG00000118640"	"protein_coding"	747	53.35
"ENSG00000263600"	"miRNA"	97	36.08
"ENSG00000263603"	"lincRNA"	577	54.53
"ENSG00000168488"	"protein_coding"	1859	57.87
"ENSG00000263604"	"pseudogene"	199	60.80
"ENSG00000263607"	"misc_RNA"	300	51.67
"ENSG00000263606"	"pseudogene"	1124	40.13
"ENSG00000201465"	"snoRNA"	132	48.48
"ENSG00000259168"	"antisense"	723	51.66
"ENSG00000201467"	"snoRNA"	132	46.97
"ENSG00000201466"	"misc_RNA"	102	38.24
"ENSG00000253141"	"lincRNA"	602	48.20
"ENSG00000115073"	"protein_coding"	1359	61.31
"ENSG00000253143"	"lincRNA"	736	42.93
"ENSG00000253142"	"sense_intronic"	898	43.88
"ENSG00000259161"	"pseudogene"	726	43.11
"ENSG00000259160"	"pseudogene"	178	59.55
"ENSG00000259163"	"processed_transcript"	861	43.88
"ENSG00000259162"	"pseudogene"	622	53.47
"ENSG00000201469"	"rRNA"	113	54.87
"ENSG00000253148"	"protein_coding"	1794	32.05
"ENSG00000259167"	"pseudogene"	884	44.34
"ENSG00000259166"	"lincRNA"	513	46.98
"ENSG00000213853"	"protein_coding"	2535	49.64
"ENSG00000213851"	"pseudogene"	897	58.64
"ENSG00000029534"	"protein_coding"	3856	57.65
"ENSG00000213857"	"pseudogene"	1060	58.30
"ENSG00000213856"	"pseudogene"	850	48.00
"ENSG00000213854"	"pseudogene"	900	58.56
"ENSG00000258597"	"pseudogene"	721	51.32
"ENSG00000213859"	"protein_coding"	1879	65.63
"ENSG00000112685"	"protein_coding"	1791	47.11
"ENSG00000225816"	"pseudogene"	697	37.88
"ENSG00000225814"	"pseudogene"	670	50.30
"ENSG00000225815"	"lincRNA"	964	45.25
"ENSG00000225812"	"pseudogene"	298	47.32
"ENSG00000225813"	"pseudogene"	717	58.72
"ENSG00000225810"	"processed_transcript"	811	50.43
"ENSG00000225811"	"antisense"	602	40.37
"ENSG00000225818"	"lincRNA"	496	43.27
"ENSG00000225819"	"antisense"	444	38.51
"ENSG00000229306"	"lincRNA"	323	41.49
"ENSG00000229307"	"processed_transcript"	376	43.62
"ENSG00000229304"	"sense_intronic"	544	41.91
"ENSG00000229305"	"pseudogene"	1075	45.67
"ENSG00000229302"	"pseudogene"	515	38.45
"ENSG00000229303"	"pseudogene"	540	50.00
"ENSG00000238489"	"snRNA"	107	43.93
"ENSG00000229301"	"lincRNA"	528	46.59
"ENSG00000238487"	"snRNA"	63	26.98
"ENSG00000238486"	"snoRNA"	104	42.31
"ENSG00000238485"	"snoRNA"	104	39.42
"ENSG00000238484"	"snoRNA"	104	40.38
"ENSG00000238483"	"snoRNA"	104	37.50
"ENSG00000238482"	"snRNA"	107	37.38
"ENSG00000238481"	"snoRNA"	105	39.05
"ENSG00000229309"	"lincRNA"	290	45.17
"ENSG00000055070"	"protein_coding"	1503	55.92
"ENSG00000264660"	"antisense"	1145	49.12
"ENSG00000227410"	"processed_transcript"	822	65.57
"ENSG00000227411"	"pseudogene"	1225	55.76
"ENSG00000227412"	"pseudogene"	1218	42.53
"ENSG00000227413"	"pseudogene"	355	41.97
"ENSG00000227415"	"processed_transcript"	707	37.91
"ENSG00000227416"	"pseudogene"	429	54.08
"ENSG00000227417"	"pseudogene"	646	44.74
"ENSG00000227418"	"processed_transcript"	1590	34.65
"ENSG00000155714"	"protein_coding"	1246	41.22
"ENSG00000182010"	"protein_coding"	3195	36.92
"ENSG00000182013"	"protein_coding"	3589	51.19
"ENSG00000244748"	"misc_RNA"	290	50.00
"ENSG00000075388"	"protein_coding"	888	67.80
"ENSG00000186704"	"pseudogene"	1411	59.29
"ENSG00000251779"	"misc_RNA"	98	34.69
"ENSG00000251774"	"snRNA"	102	40.20
"ENSG00000251775"	"snoRNA"	143	39.16
"ENSG00000251776"	"misc_RNA"	289	47.06
"ENSG00000251777"	"snRNA"	82	43.90
"ENSG00000251770"	"rRNA"	83	59.04
"ENSG00000245293"	"antisense"	1724	44.40
"ENSG00000251772"	"miRNA"	71	39.44
"ENSG00000251773"	"snRNA"	104	35.58
"ENSG00000164659"	"protein_coding"	2290	42.64
"ENSG00000242748"	"pseudogene"	467	44.75
"ENSG00000178372"	"protein_coding"	876	66.78
"ENSG00000164651"	"protein_coding"	1666	69.42
"ENSG00000242741"	"lincRNA"	782	43.99
"ENSG00000164654"	"protein_coding"	1809	43.66
"ENSG00000252234"	"miRNA"	109	53.21
"ENSG00000114978"	"protein_coding"	1182	45.24
"ENSG00000252236"	"snoRNA"	141	47.52
"ENSG00000252237"	"snRNA"	129	38.76
"ENSG00000252230"	"snoRNA"	86	34.88
"ENSG00000252231"	"rRNA"	131	45.04
"ENSG00000206113"	"antisense"	2790	62.65
"ENSG00000252238"	"snoRNA"	84	51.19
"ENSG00000252239"	"snRNA"	97	31.96
"ENSG00000256925"	"processed_transcript"	475	63.58
"ENSG00000161021"	"protein_coding"	3391	57.51
"ENSG00000256922"	"lincRNA"	462	44.16
"ENSG00000256923"	"lincRNA"	424	43.63
"ENSG00000169744"	"protein_coding"	1298	45.22
"ENSG00000256928"	"antisense"	752	59.44
"ENSG00000256929"	"pseudogene"	324	61.11
"ENSG00000254694"	"antisense"	362	34.25
"ENSG00000215864"	"pseudogene"	1606	48.10
"ENSG00000254696"	"pseudogene"	476	52.31
"ENSG00000254697"	"pseudogene"	482	36.10
"ENSG00000254690"	"antisense"	444	58.78
"ENSG00000254691"	"antisense"	551	33.76
"ENSG00000254692"	"protein_coding"	2740	51.20
"ENSG00000254693"	"antisense"	543	58.38
"ENSG00000254698"	"processed_transcript"	433	35.57
"ENSG00000226979"	"protein_coding"	1450	56.50
"ENSG00000257343"	"pseudogene"	495	54.75
"ENSG00000257342"	"antisense"	699	54.79
"ENSG00000257341"	"protein_coding"	583	62.29
"ENSG00000215867"	"pseudogene"	1251	54.12
"ENSG00000257346"	"antisense"	496	56.41
"ENSG00000257345"	"lincRNA"	810	44.80
"ENSG00000261603"	"protein_coding"	982	54.99
"ENSG00000215861"	"pseudogene"	377	51.46
"ENSG00000151923"	"protein_coding"	1210	40.97
"ENSG00000228949"	"pseudogene"	853	44.31
"ENSG00000228948"	"pseudogene"	894	53.13
"ENSG00000228947"	"antisense"	600	73.67
"ENSG00000228945"	"pseudogene"	1303	52.65
"ENSG00000228944"	"antisense"	527	43.07
"ENSG00000228943"	"pseudogene"	235	41.28
"ENSG00000228941"	"pseudogene"	2259	38.87
"ENSG00000228940"	"pseudogene"	921	43.11
"ENSG00000165309"	"protein_coding"	1373	40.12
"ENSG00000165304"	"protein_coding"	1737	42.46
"ENSG00000165300"	"protein_coding"	3438	54.00
"ENSG00000101608"	"protein_coding"	740	43.27
"ENSG00000101605"	"protein_coding"	2771	48.31
"ENSG00000170100"	"protein_coding"	1316	54.10
"ENSG00000129473"	"protein_coding"	1078	59.58
"ENSG00000198791"	"protein_coding"	1034	41.64
"ENSG00000198792"	"protein_coding"	1464	59.81
"ENSG00000198793"	"protein_coding"	2618	47.81
"ENSG00000198794"	"protein_coding"	1250	58.56
"ENSG00000198795"	"protein_coding"	1653	49.90
"ENSG00000198796"	"protein_coding"	7303	47.64
"ENSG00000231429"	"lincRNA"	496	50.40
"ENSG00000198798"	"protein_coding"	2302	45.41
"ENSG00000231427"	"lincRNA"	745	37.20
"ENSG00000231424"	"antisense"	500	51.80
"ENSG00000197774"	"protein_coding"	2033	67.21
"ENSG00000231422"	"lincRNA"	789	53.36
"ENSG00000231423"	"pseudogene"	597	39.36
"ENSG00000197771"	"protein_coding"	2263	44.17
"ENSG00000231421"	"protein_coding"	672	55.32
"ENSG00000161682"	"protein_coding"	3158	71.31
"ENSG00000161681"	"protein_coding"	3387	66.58
"ENSG00000179428"	"antisense"	1364	48.31
"ENSG00000100288"	"protein_coding"	1204	59.20
"ENSG00000183864"	"protein_coding"	2669	59.36
"ENSG00000183862"	"protein_coding"	2834	52.40
"ENSG00000168291"	"protein_coding"	1539	45.89
"ENSG00000124216"	"protein_coding"	1686	58.19
"ENSG00000124217"	"protein_coding"	2458	50.85
"ENSG00000124214"	"protein_coding"	2823	48.24
"ENSG00000124215"	"protein_coding"	1823	45.68
"ENSG00000124212"	"protein_coding"	1595	58.76
"ENSG00000167685"	"protein_coding"	2042	68.61
"ENSG00000247595"	"lincRNA"	786	45.41
"ENSG00000161970"	"protein_coding"	590	45.19
"ENSG00000112335"	"protein_coding"	1187	50.11
"ENSG00000161973"	"protein_coding"	999	58.20
"ENSG00000255279"	"lincRNA"	486	41.87
"ENSG00000255275"	"protein_coding"	4369	59.14
"ENSG00000255274"	"processed_transcript"	268	52.22
"ENSG00000255277"	"pseudogene"	653	52.56
"ENSG00000255276"	"antisense"	346	44.22
"ENSG00000255271"	"lincRNA"	389	47.56
"ENSG00000255270"	"sense_intronic"	506	45.06
"ENSG00000255273"	"pseudogene"	358	62.85
"ENSG00000255272"	"antisense"	486	45.88
"ENSG00000198369"	"protein_coding"	1294	51.44
"ENSG00000160087"	"protein_coding"	1020	58.98
"ENSG00000036054"	"protein_coding"	2015	38.36
"ENSG00000212073"	"miRNA"	89	28.09
"ENSG00000228349"	"pseudogene"	355	45.63
"ENSG00000212071"	"miRNA"	89	34.83
"ENSG00000236476"	"pseudogene"	949	42.99
"ENSG00000002587"	"protein_coding"	3006	60.78
"ENSG00000002586"	"protein_coding"	738	53.24
"ENSG00000237868"	"pseudogene"	479	47.39
"ENSG00000237869"	"pseudogene"	595	35.13
"ENSG00000177951"	"protein_coding"	1246	58.64
"ENSG00000237860"	"pseudogene"	301	39.20
"ENSG00000237861"	"pseudogene"	1034	42.55
"ENSG00000237862"	"lincRNA"	1965	47.28
"ENSG00000237863"	"lincRNA"	1142	41.68
"ENSG00000198246"	"protein_coding"	1280	60.53
"ENSG00000237866"	"antisense"	430	40.47
"ENSG00000135917"	"protein_coding"	1397	45.07
"ENSG00000135916"	"protein_coding"	1109	58.56
"ENSG00000135914"	"protein_coding"	2246	39.67
"ENSG00000135913"	"protein_coding"	2344	41.05
"ENSG00000135912"	"protein_coding"	1506	52.46
"ENSG00000092148"	"protein_coding"	2299	42.03
"ENSG00000175077"	"protein_coding"	2217	51.92
"ENSG00000034693"	"protein_coding"	1376	41.55
"ENSG00000135919"	"protein_coding"	1798	49.80
"ENSG00000230487"	"lincRNA"	2283	57.68
"ENSG00000176395"	"lincRNA"	1764	55.37
"ENSG00000176396"	"protein_coding"	1981	47.00
"ENSG00000230484"	"pseudogene"	937	49.09
"ENSG00000176390"	"protein_coding"	1121	46.11
"ENSG00000230482"	"pseudogene"	425	54.82
"ENSG00000230481"	"pseudogene"	348	50.86
"ENSG00000176393"	"protein_coding"	1147	54.54
"ENSG00000176399"	"protein_coding"	2302	49.83
"ENSG00000230489"	"antisense"	619	39.58
"ENSG00000243900"	"misc_RNA"	296	51.69
"ENSG00000243902"	"processed_transcript"	744	62.42
"ENSG00000243903"	"lincRNA"	696	40.80
"ENSG00000243904"	"pseudogene"	884	52.71
"ENSG00000083635"	"protein_coding"	3492	38.72
"ENSG00000248029"	"lincRNA"	567	48.85
"ENSG00000248027"	"lincRNA"	1865	40.70
"ENSG00000063515"	"protein_coding"	1033	70.67
"ENSG00000252599"	"snRNA"	107	33.64
"ENSG00000252598"	"rRNA"	100	47.00
"ENSG00000240233"	"misc_RNA"	302	55.63
"ENSG00000252591"	"rRNA"	93	49.46
"ENSG00000252590"	"snRNA"	65	47.69
"ENSG00000247627"	"pseudogene"	1377	44.30
"ENSG00000247626"	"protein_coding"	3027	48.43
"ENSG00000167536"	"protein_coding"	1363	55.65
"ENSG00000252594"	"snRNA"	107	44.86
"ENSG00000252597"	"snRNA"	62	41.94
"ENSG00000167535"	"protein_coding"	1254	58.65
"ENSG00000226457"	"pseudogene"	381	41.47
"ENSG00000188886"	"protein_coding"	968	60.55
"ENSG00000188883"	"protein_coding"	1672	66.97
"ENSG00000241500"	"misc_RNA"	280	46.43
"ENSG00000241506"	"pseudogene"	1320	45.76
"ENSG00000188888"	"protein_coding"	3107	57.97
"ENSG00000241505"	"lincRNA"	506	38.34
"ENSG00000094796"	"protein_coding"	1596	59.52
"ENSG00000149792"	"protein_coding"	1273	55.27
"ENSG00000239249"	"misc_RNA"	299	54.52
"ENSG00000237289"	"protein_coding"	1033	58.19
"ENSG00000239739"	"lincRNA"	263	44.87
"ENSG00000237285"	"pseudogene"	960	46.04
"ENSG00000237286"	"antisense"	969	47.78
"ENSG00000237280"	"sense_intronic"	688	37.35
"ENSG00000237281"	"antisense"	535	55.33
"ENSG00000237282"	"antisense"	727	55.98
"ENSG00000237283"	"lincRNA"	733	35.47
"ENSG00000197734"	"protein_coding"	573	52.19
"ENSG00000206942"	"snoRNA"	133	49.62
"ENSG00000206941"	"snoRNA"	148	47.30
"ENSG00000206947"	"snoRNA"	132	34.85
"ENSG00000206946"	"snRNA"	107	41.12
"ENSG00000154764"	"protein_coding"	1657	55.33
"ENSG00000206944"	"snRNA"	107	42.06
"ENSG00000206949"	"snRNA"	107	38.32
"ENSG00000206948"	"snoRNA"	132	40.15
"ENSG00000198366"	"protein_coding"	469	59.28
"ENSG00000153207"	"protein_coding"	4755	43.14
"ENSG00000200478"	"snoRNA"	82	45.12
"ENSG00000200475"	"misc_RNA"	345	48.12
"ENSG00000049192"	"protein_coding"	2837	43.49
"ENSG00000200471"	"snRNA"	107	38.32
"ENSG00000200473"	"rRNA"	121	48.76
"ENSG00000200472"	"misc_RNA"	316	47.47
"ENSG00000264239"	"miRNA"	94	27.66
"ENSG00000149798"	"protein_coding"	1810	61.14
"ENSG00000169992"	"protein_coding"	2475	66.68
"ENSG00000221486"	"miRNA"	115	36.52
"ENSG00000237136"	"protein_coding"	522	45.14
"ENSG00000237137"	"pseudogene"	127	44.88
"ENSG00000237135"	"pseudogene"	1933	37.82
"ENSG00000177047"	"protein_coding"	1514	38.24
"ENSG00000237133"	"antisense"	338	44.97
"ENSG00000177045"	"protein_coding"	2252	68.56
"ENSG00000237131"	"pseudogene"	248	45.97
"ENSG00000169991"	"protein_coding"	2575	58.35
"ENSG00000237138"	"antisense"	616	55.19
"ENSG00000237139"	"pseudogene"	284	43.31
"ENSG00000171476"	"protein_coding"	1105	47.63
"ENSG00000141232"	"protein_coding"	1528	48.24
"ENSG00000172673"	"protein_coding"	3282	38.08
"ENSG00000172671"	"protein_coding"	1783	41.67
"ENSG00000151502"	"protein_coding"	1482	51.23
"ENSG00000223760"	"processed_transcript"	1841	56.87
"ENSG00000223761"	"lincRNA"	168	50.00
"ENSG00000223764"	"processed_transcript"	1009	61.36
"ENSG00000223765"	"lincRNA"	454	42.51
"ENSG00000236423"	"lincRNA"	1877	58.01
"ENSG00000223768"	"lincRNA"	1391	41.77
"ENSG00000236420"	"pseudogene"	676	48.22
"ENSG00000236427"	"antisense"	397	36.27
"ENSG00000236426"	"antisense"	471	49.26
"ENSG00000236425"	"pseudogene"	366	46.17
"ENSG00000236424"	"protein_coding"	1123	52.17
"ENSG00000136750"	"protein_coding"	2410	47.63
"ENSG00000136754"	"protein_coding"	3181	38.34
"ENSG00000136758"	"protein_coding"	2014	43.48
"ENSG00000232508"	"pseudogene"	914	45.95
"ENSG00000232500"	"lincRNA"	522	50.19
"ENSG00000232502"	"pseudogene"	343	53.06
"ENSG00000232503"	"pseudogene"	312	46.47
"ENSG00000232504"	"lincRNA"	625	44.84
"ENSG00000232505"	"lincRNA"	464	41.59
"ENSG00000249087"	"protein_coding"	893	53.02
"ENSG00000116014"	"protein_coding"	1624	68.29
"ENSG00000249085"	"antisense"	493	61.05
"ENSG00000116016"	"protein_coding"	1403	55.68
"ENSG00000249082"	"lincRNA"	656	69.04
"ENSG00000249081"	"pseudogene"	618	40.78
"ENSG00000234034"	"lincRNA"	977	35.93
"ENSG00000249089"	"pseudogene"	148	51.35
"ENSG00000203315"	"pseudogene"	123	51.22
"ENSG00000175130"	"protein_coding"	1699	59.33
"ENSG00000187242"	"protein_coding"	1867	50.67
"ENSG00000197674"	"protein_coding"	939	45.90
"ENSG00000201708"	"rRNA"	113	59.29
"ENSG00000201709"	"snRNA"	107	37.38
"ENSG00000242861"	"processed_transcript"	348	42.53
"ENSG00000201704"	"rRNA"	120	50.00
"ENSG00000120440"	"protein_coding"	1764	49.14
"ENSG00000201700"	"snoRNA"	73	38.36
"ENSG00000201701"	"snoRNA"	128	42.19
"ENSG00000203314"	"pseudogene"	135	51.11
"ENSG00000172890"	"protein_coding"	1344	55.85
"ENSG00000250560"	"pseudogene"	258	46.51
"ENSG00000087266"	"protein_coding"	1926	61.30
"ENSG00000180210"	"protein_coding"	1211	60.35
"ENSG00000264234"	"miRNA"	69	27.54
"ENSG00000068120"	"protein_coding"	2275	58.51
"ENSG00000242865"	"misc_RNA"	298	50.67
"ENSG00000187244"	"protein_coding"	2432	64.87
"ENSG00000231004"	"processed_transcript"	199	45.23
"ENSG00000110721"	"protein_coding"	1064	47.83
"ENSG00000158555"	"protein_coding"	1873	61.35
"ENSG00000223867"	"pseudogene"	333	37.54
"ENSG00000130600"	"lincRNA"	1532	61.77
"ENSG00000186118"	"protein_coding"	795	55.70
"ENSG00000224231"	"lincRNA"	553	43.22
"ENSG00000235198"	"antisense"	475	47.16
"ENSG00000235199"	"pseudogene"	475	43.16
"ENSG00000224235"	"lincRNA"	787	39.77
"ENSG00000250568"	"pseudogene"	315	46.98
"ENSG00000137409"	"protein_coding"	1138	56.93
"ENSG00000224236"	"protein_coding"	1675	45.85
"ENSG00000235192"	"lincRNA"	779	46.85
"ENSG00000235193"	"pseudogene"	527	58.82
"ENSG00000235190"	"pseudogene"	184	35.33
"ENSG00000235191"	"antisense"	433	51.04
"ENSG00000235196"	"pseudogene"	909	49.50
"ENSG00000235197"	"pseudogene"	2030	36.85
"ENSG00000264655"	"pseudogene"	487	50.31
"ENSG00000162840"	"pseudogene"	184	60.98
"ENSG00000060138"	"protein_coding"	1079	49.32
"ENSG00000253570"	"pseudogene"	540	57.78
"ENSG00000044012"	"protein_coding"	597	62.81
"ENSG00000231857"	"pseudogene"	961	39.33
"ENSG00000231856"	"antisense"	569	52.02
"ENSG00000231855"	"pseudogene"	60	40.00
"ENSG00000231852"	"protein_coding"	1185	59.88
"ENSG00000231851"	"antisense"	506	46.22
"ENSG00000231850"	"protein_coding"	509	51.67
"ENSG00000130751"	"protein_coding"	1691	68.58
"ENSG00000180818"	"protein_coding"	939	53.54
"ENSG00000231859"	"pseudogene"	394	44.92
"ENSG00000231858"	"processed_transcript"	438	42.48
"ENSG00000162231"	"protein_coding"	1153	52.07
"ENSG00000264231"	"miRNA"	75	33.33
"ENSG00000009694"	"protein_coding"	8727	43.00
"ENSG00000197670"	"lincRNA"	1947	49.41
"ENSG00000110756"	"protein_coding"	2134	43.87
"ENSG00000248840"	"pseudogene"	339	52.51
"ENSG00000248842"	"lincRNA"	312	41.35
"ENSG00000248843"	"pseudogene"	786	56.36
"ENSG00000248844"	"lincRNA"	1151	43.95
"ENSG00000248846"	"lincRNA"	562	46.98
"ENSG00000248847"	"pseudogene"	721	43.13
"ENSG00000248848"	"pseudogene"	854	44.79
"ENSG00000134278"	"protein_coding"	2190	45.77
"ENSG00000230810"	"antisense"	1306	42.88
"ENSG00000230812"	"lincRNA"	329	44.64
"ENSG00000230813"	"pseudogene"	417	62.83
"ENSG00000230814"	"pseudogene"	697	34.00
"ENSG00000230815"	"sense_intronic"	424	40.33
"ENSG00000251787"	"snRNA"	62	45.16
"ENSG00000064726"	"protein_coding"	1363	43.04
"ENSG00000230818"	"pseudogene"	799	38.67
"ENSG00000230819"	"pseudogene"	805	35.16
"ENSG00000166225"	"protein_coding"	2248	43.97
"ENSG00000185379"	"protein_coding"	1711	56.64
"ENSG00000072506"	"protein_coding"	784	57.09
"ENSG00000072501"	"protein_coding"	2500	50.79
"ENSG00000134183"	"protein_coding"	1339	46.45
"ENSG00000069712"	"protein_coding"	4589	37.75
"ENSG00000134186"	"protein_coding"	2481	42.77
"ENSG00000134184"	"protein_coding"	756	53.73
"ENSG00000262712"	"non_coding"	1949	63.11
"ENSG00000262714"	"lincRNA"	2142	35.53
"ENSG00000248211"	"antisense"	460	50.00
"ENSG00000145191"	"protein_coding"	1175	50.14
"ENSG00000145192"	"protein_coding"	1511	53.75
"ENSG00000037042"	"protein_coding"	1815	59.12
"ENSG00000260622"	"pseudogene"	497	56.34
"ENSG00000260620"	"lincRNA"	511	48.73
"ENSG00000260621"	"antisense"	549	38.62
"ENSG00000260626"	"lincRNA"	560	40.54
"ENSG00000260624"	"antisense"	357	50.63
"ENSG00000260625"	"antisense"	647	49.00
"ENSG00000228171"	"pseudogene"	249	52.21
"ENSG00000145194"	"protein_coding"	2073	57.38
"ENSG00000260628"	"pseudogene"	896	61.57
"ENSG00000260629"	"sense_overlapping"	994	39.64
"ENSG00000042753"	"protein_coding"	833	60.44
"ENSG00000183542"	"protein_coding"	928	36.10
"ENSG00000259834"	"lincRNA"	3481	31.03
"ENSG00000214670"	"protein_coding"	411	57.18
"ENSG00000105855"	"protein_coding"	3186	44.27
"ENSG00000105854"	"protein_coding"	898	45.01
"ENSG00000265296"	"pseudogene"	1997	63.45
"ENSG00000105856"	"protein_coding"	1287	43.86
"ENSG00000105851"	"protein_coding"	3134	42.81
"ENSG00000079689"	"protein_coding"	1075	48.41
"ENSG00000265292"	"misc_RNA"	268	50.37
"ENSG00000105852"	"protein_coding"	1101	44.67
"ENSG00000142252"	"protein_coding"	1585	55.50
"ENSG00000012174"	"protein_coding"	3582	42.28
"ENSG00000131002"	"protein_coding"	3689	35.90
"ENSG00000220446"	"pseudogene"	359	33.43
"ENSG00000220447"	"pseudogene"	389	41.13
"ENSG00000131007"	"antisense"	1569	38.45
"ENSG00000135587"	"protein_coding"	913	56.19
"ENSG00000131009"	"processed_transcript"	1637	38.79
"ENSG00000233431"	"antisense"	821	56.52
"ENSG00000221311"	"miRNA"	138	31.16
"ENSG00000221310"	"miRNA"	86	30.23
"ENSG00000221313"	"miRNA"	97	32.99
"ENSG00000221312"	"miRNA"	100	39.00
"ENSG00000221315"	"miRNA"	67	52.24
"ENSG00000214111"	"pseudogene"	691	47.47
"ENSG00000221317"	"miRNA"	94	35.11
"ENSG00000221316"	"miRNA"	91	37.36
"ENSG00000221319"	"miRNA"	139	25.90
"ENSG00000221318"	"miRNA"	83	68.67
